482, 2119, 68, 83, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5727_CROPED.JPG, path time not found, 0, Start 
482.0, 2119.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5727_CROPED.JPG, path time not found, 0, Auto
482.0, 2119.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5728_CROPED.JPG, path time not found, 0, Auto
481.0, 2119.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5729_CROPED.JPG, path time not found, 0, Auto
480.0, 2118.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5730_CROPED.JPG, path time not found, 0, Auto
479.0, 2119.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5731_CROPED.JPG, path time not found, 0, Auto
477.0, 2119.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5732_CROPED.JPG, path time not found, 0, Auto
476.0, 2119.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5733_CROPED.JPG, path time not found, 0, Auto
476.0, 2120.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5734_CROPED.JPG, path time not found, 0, Auto
473.0, 2119.0, 71.0, 86.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5735_CROPED.JPG, path time not found, 0, Auto
471.0, 2119.0, 71.0, 86.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5736_CROPED.JPG, path time not found, 0, Auto
469.0, 2118.0, 72.0, 88.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5737_CROPED.JPG, path time not found, 0, Auto
469.0, 2118.0, 71.0, 86.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5738_CROPED.JPG, path time not found, 0, Auto
468.0, 2119.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5739_CROPED.JPG, path time not found, 0, Auto
467.0, 2119.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5740_CROPED.JPG, path time not found, 0, Auto
466.0, 2119.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5741_CROPED.JPG, path time not found, 0, Auto
465.0, 2120.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5742_CROPED.JPG, path time not found, 0, Auto
464.0, 2119.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5743_CROPED.JPG, path time not found, 0, Auto
463.0, 2120.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5744_CROPED.JPG, path time not found, 0, Auto
462.0, 2120.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5745_CROPED.JPG, path time not found, 0, Auto
460.0, 2120.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5746_CROPED.JPG, path time not found, 0, Auto
459.0, 2120.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5747_CROPED.JPG, path time not found, 0, Auto
455.0, 2116.0, 74.0, 90.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5748_CROPED.JPG, path time not found, 0, Auto
